Begin epxeriment: cont_weight: 1 epoch:1000 der1:0.3 der2:0 dfr1:0 dfr2:0.4
./run_pre_bkd.py:18: DeprecationWarning: the imp module is deprecated in favour of importlib; see the module's documentation for alternative uses
  import imp
Namespace(add_edge_rate_1=0.0, add_edge_rate_2=0.0, cl_activation='relu', cl_base_model='GCNConv', cl_lr=0.0002, cl_num_epochs=1000, cl_num_hidden=128, cl_num_layers=2, cl_num_proj_hidden=128, cl_weight_decay=1e-05, config='config.yaml', cont_batch_size=0, cont_weight=1.0, cuda=True, dataset='Cora', debug=True, defense_mode='none', device_id=2, dis_weight=1, drop_edge_rate_1=0.3, drop_edge_rate_2=0.0, drop_feat_rate_1=0.0, drop_feat_rate_2=0.4, dropout=0.5, epochs=200, evaluate_mode='1by1', gpu_id=0, hidden=128, homo_boost_thrd=0.5, homo_loss_weight=0.0, inner=1, lr=0.01, model='GCN', no_cuda=False, proj_hidden=128, prune_thr=0.2, seed=10, selection_method='cluster_degree', target_class=0, target_loss_weight=1, tau=0.4, temperature=0.5, test_model='GCN', thrd=0.5, train_lr=0.01, trigger_size=3, trojan_epochs=200, use_vs_number=True, vs_number=5, vs_ratio=0, weight_decay=0.0005)
#Attach Nodes:5
./selected_nodes/Cora/Overall/seed265/nodes.txt
precent of left attach nodes: 1.000
/home/mfl5681/project-contrastive/RobustCL/model.py:226: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.labels = torch.tensor(labels, dtype=torch.long)
=== training gcn model ===
Epoch 0, training loss: 10.300893783569336 = 1.9271517992019653 + 1.0 * 8.37374210357666
Epoch 0, val loss: 1.926690936088562
Epoch 10, training loss: 10.290312767028809 = 1.9172868728637695 + 1.0 * 8.373025894165039
Epoch 10, val loss: 1.9176452159881592
Epoch 20, training loss: 10.273138046264648 = 1.904914379119873 + 1.0 * 8.368224143981934
Epoch 20, val loss: 1.9058105945587158
Epoch 30, training loss: 10.222384452819824 = 1.8876333236694336 + 1.0 * 8.33475112915039
Epoch 30, val loss: 1.8889743089675903
Epoch 40, training loss: 9.985101699829102 = 1.8662352561950684 + 1.0 * 8.118865966796875
Epoch 40, val loss: 1.8686535358428955
Epoch 50, training loss: 9.401519775390625 = 1.843599796295166 + 1.0 * 7.557920455932617
Epoch 50, val loss: 1.8474197387695312
Epoch 60, training loss: 9.031747817993164 = 1.8265928030014038 + 1.0 * 7.205155372619629
Epoch 60, val loss: 1.8319512605667114
Epoch 70, training loss: 8.63465690612793 = 1.8162753582000732 + 1.0 * 6.8183817863464355
Epoch 70, val loss: 1.8234784603118896
Epoch 80, training loss: 8.432795524597168 = 1.8091715574264526 + 1.0 * 6.623623847961426
Epoch 80, val loss: 1.8170289993286133
Epoch 90, training loss: 8.318926811218262 = 1.799748182296753 + 1.0 * 6.519178867340088
Epoch 90, val loss: 1.8078685998916626
Epoch 100, training loss: 8.221827507019043 = 1.788644790649414 + 1.0 * 6.433182716369629
Epoch 100, val loss: 1.7974345684051514
Epoch 110, training loss: 8.147425651550293 = 1.7779663801193237 + 1.0 * 6.369459629058838
Epoch 110, val loss: 1.7876304388046265
Epoch 120, training loss: 8.088858604431152 = 1.7672337293624878 + 1.0 * 6.321625232696533
Epoch 120, val loss: 1.777923345565796
Epoch 130, training loss: 8.043390274047852 = 1.755037784576416 + 1.0 * 6.288352966308594
Epoch 130, val loss: 1.7672936916351318
Epoch 140, training loss: 8.001646995544434 = 1.7406480312347412 + 1.0 * 6.2609992027282715
Epoch 140, val loss: 1.7551963329315186
Epoch 150, training loss: 7.962985992431641 = 1.7234801054000854 + 1.0 * 6.239505767822266
Epoch 150, val loss: 1.7411755323410034
Epoch 160, training loss: 7.923623085021973 = 1.7029101848602295 + 1.0 * 6.220712661743164
Epoch 160, val loss: 1.7246503829956055
Epoch 170, training loss: 7.88173770904541 = 1.678145408630371 + 1.0 * 6.203592300415039
Epoch 170, val loss: 1.7048747539520264
Epoch 180, training loss: 7.837646961212158 = 1.648037075996399 + 1.0 * 6.189610004425049
Epoch 180, val loss: 1.680922269821167
Epoch 190, training loss: 7.789874076843262 = 1.6117689609527588 + 1.0 * 6.178105354309082
Epoch 190, val loss: 1.6520158052444458
Epoch 200, training loss: 7.736141681671143 = 1.5686821937561035 + 1.0 * 6.167459487915039
Epoch 200, val loss: 1.6175686120986938
Epoch 210, training loss: 7.677091598510742 = 1.5182716846466064 + 1.0 * 6.158819675445557
Epoch 210, val loss: 1.577477216720581
Epoch 220, training loss: 7.615031719207764 = 1.4615215063095093 + 1.0 * 6.153510093688965
Epoch 220, val loss: 1.5326652526855469
