Begin epxeriment: cont_weight: 0.1 epoch:1000 der1:0.3 der2:0 dfr1:0 dfr2:0.4
./run_pre_bkd.py:18: DeprecationWarning: the imp module is deprecated in favour of importlib; see the module's documentation for alternative uses
  import imp
Namespace(add_edge_rate_1=0.0, add_edge_rate_2=0.0, cl_activation='relu', cl_base_model='GCNConv', cl_lr=0.0002, cl_num_epochs=1000, cl_num_hidden=128, cl_num_layers=2, cl_num_proj_hidden=128, cl_weight_decay=1e-05, config='config.yaml', cont_batch_size=0, cont_weight=0.1, cuda=True, dataset='Cora', debug=True, defense_mode='none', device_id=2, dis_weight=1, drop_edge_rate_1=0.3, drop_edge_rate_2=0.0, drop_feat_rate_1=0.0, drop_feat_rate_2=0.4, dropout=0.5, epochs=200, evaluate_mode='1by1', gpu_id=0, hidden=128, homo_boost_thrd=0.5, homo_loss_weight=0.0, inner=1, lr=0.01, model='GCN', no_cuda=False, proj_hidden=128, prune_thr=0.2, seed=10, selection_method='cluster_degree', target_class=0, target_loss_weight=1, tau=0.4, temperature=0.5, test_model='GCN', thrd=0.5, train_lr=0.01, trigger_size=3, trojan_epochs=200, use_vs_number=True, vs_number=5, vs_ratio=0, weight_decay=0.0005)
#Attach Nodes:5
./selected_nodes/Cora/Overall/seed265/nodes.txt
precent of left attach nodes: 1.000
/home/mfl5681/project-contrastive/RobustCL/model.py:226: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.labels = torch.tensor(labels, dtype=torch.long)
=== training gcn model ===
Epoch 0, training loss: 2.789670705795288 = 1.9522897005081177 + 0.1 * 8.373809814453125
Epoch 0, val loss: 1.9590022563934326
Epoch 10, training loss: 2.779528856277466 = 1.9421718120574951 + 0.1 * 8.373570442199707
Epoch 10, val loss: 1.948914647102356
Epoch 20, training loss: 2.767009735107422 = 1.9297906160354614 + 0.1 * 8.3721923828125
Epoch 20, val loss: 1.936554193496704
Epoch 30, training loss: 2.7487308979034424 = 1.9124865531921387 + 0.1 * 8.362442970275879
Epoch 30, val loss: 1.9192522764205933
Epoch 40, training loss: 2.717195749282837 = 1.8868200778961182 + 0.1 * 8.303755760192871
Epoch 40, val loss: 1.8939241170883179
Epoch 50, training loss: 2.645357608795166 = 1.8514822721481323 + 0.1 * 7.9387526512146
Epoch 50, val loss: 1.8604137897491455
Epoch 60, training loss: 2.5463850498199463 = 1.8125017881393433 + 0.1 * 7.338832855224609
Epoch 60, val loss: 1.8260188102722168
Epoch 70, training loss: 2.4781181812286377 = 1.7732841968536377 + 0.1 * 7.048338890075684
Epoch 70, val loss: 1.7920987606048584
Epoch 80, training loss: 2.4198553562164307 = 1.7321257591247559 + 0.1 * 6.877296447753906
Epoch 80, val loss: 1.757262110710144
Epoch 90, training loss: 2.359933376312256 = 1.6828383207321167 + 0.1 * 6.770951747894287
Epoch 90, val loss: 1.714431881904602
Epoch 100, training loss: 2.287673234939575 = 1.6162315607070923 + 0.1 * 6.71441650390625
Epoch 100, val loss: 1.6578377485275269
Epoch 110, training loss: 2.197192907333374 = 1.5290701389312744 + 0.1 * 6.68122673034668
Epoch 110, val loss: 1.5858982801437378
Epoch 120, training loss: 2.0888805389404297 = 1.4233263731002808 + 0.1 * 6.655541896820068
Epoch 120, val loss: 1.4989131689071655
Epoch 130, training loss: 1.9707987308502197 = 1.3080741167068481 + 0.1 * 6.627245903015137
Epoch 130, val loss: 1.4046354293823242
Epoch 140, training loss: 1.8536843061447144 = 1.19411039352417 + 0.1 * 6.595738887786865
Epoch 140, val loss: 1.312680721282959
Epoch 150, training loss: 1.7461037635803223 = 1.088796854019165 + 0.1 * 6.573068618774414
Epoch 150, val loss: 1.2304381132125854
Epoch 160, training loss: 1.6510231494903564 = 0.997080385684967 + 0.1 * 6.539428234100342
Epoch 160, val loss: 1.1605150699615479
Epoch 170, training loss: 1.5671840906143188 = 0.9157823324203491 + 0.1 * 6.514017581939697
Epoch 170, val loss: 1.099889874458313
Epoch 180, training loss: 1.4921252727508545 = 0.8431857824325562 + 0.1 * 6.489395618438721
Epoch 180, val loss: 1.0467108488082886
Epoch 190, training loss: 1.4245364665985107 = 0.7777340412139893 + 0.1 * 6.468023300170898
Epoch 190, val loss: 0.9994167685508728
Epoch 200, training loss: 1.3661720752716064 = 0.7184756398200989 + 0.1 * 6.476964473724365
Epoch 200, val loss: 0.9575187563896179
Epoch 210, training loss: 1.310584306716919 = 0.6660726070404053 + 0.1 * 6.44511604309082
Epoch 210, val loss: 0.9221328496932983
Epoch 220, training loss: 1.260551929473877 = 0.618313193321228 + 0.1 * 6.42238712310791
Epoch 220, val loss: 0.8918743133544922
Epoch 230, training loss: 1.216808795928955 = 0.5737117528915405 + 0.1 * 6.430969715118408
Epoch 230, val loss: 0.8658323884010315
Epoch 240, training loss: 1.171933650970459 = 0.5320277214050293 + 0.1 * 6.3990583419799805
Epoch 240, val loss: 0.8434261679649353
Epoch 250, training loss: 1.130775809288025 = 0.49224624037742615 + 0.1 * 6.385295867919922
Epoch 250, val loss: 0.8235887289047241
Epoch 260, training loss: 1.093573808670044 = 0.45426416397094727 + 0.1 * 6.393095970153809
Epoch 260, val loss: 0.8062641024589539
Epoch 270, training loss: 1.055396556854248 = 0.41840529441833496 + 0.1 * 6.369912147521973
Epoch 270, val loss: 0.791544497013092
Epoch 280, training loss: 1.021378993988037 = 0.3843950033187866 + 0.1 * 6.369840621948242
Epoch 280, val loss: 0.7791053652763367
Epoch 290, training loss: 0.9877374172210693 = 0.3523852229118347 + 0.1 * 6.353521823883057
Epoch 290, val loss: 0.7690504193305969
Epoch 300, training loss: 0.9567607641220093 = 0.3222615122795105 + 0.1 * 6.344992637634277
Epoch 300, val loss: 0.7612050771713257
Epoch 310, training loss: 0.9275404214859009 = 0.2940228581428528 + 0.1 * 6.335175514221191
Epoch 310, val loss: 0.7556684613227844
Epoch 320, training loss: 0.9017254114151001 = 0.2679421603679657 + 0.1 * 6.337831974029541
Epoch 320, val loss: 0.7526922225952148
Epoch 330, training loss: 0.8767889142036438 = 0.24415045976638794 + 0.1 * 6.326384544372559
Epoch 330, val loss: 0.7522592544555664
Epoch 340, training loss: 0.8545113205909729 = 0.22248204052448273 + 0.1 * 6.320292949676514
Epoch 340, val loss: 0.7542215585708618
Epoch 350, training loss: 0.8340792655944824 = 0.202859565615654 + 0.1 * 6.312196731567383
Epoch 350, val loss: 0.7584059834480286
Epoch 360, training loss: 0.8184371590614319 = 0.18529875576496124 + 0.1 * 6.331384181976318
Epoch 360, val loss: 0.7644472122192383
Epoch 370, training loss: 0.7997321486473083 = 0.16964781284332275 + 0.1 * 6.300843238830566
Epoch 370, val loss: 0.7722014784812927
Epoch 380, training loss: 0.7853651642799377 = 0.1555868238210678 + 0.1 * 6.297783374786377
Epoch 380, val loss: 0.7814316749572754
Epoch 390, training loss: 0.7731668949127197 = 0.14294737577438354 + 0.1 * 6.302195072174072
Epoch 390, val loss: 0.791960597038269
Epoch 400, training loss: 0.7606695294380188 = 0.13159717619419098 + 0.1 * 6.2907233238220215
Epoch 400, val loss: 0.8035910129547119
Epoch 410, training loss: 0.7506723999977112 = 0.12136262655258179 + 0.1 * 6.293097496032715
Epoch 410, val loss: 0.8160710334777832
Epoch 420, training loss: 0.7406156659126282 = 0.1121310368180275 + 0.1 * 6.28484582901001
Epoch 420, val loss: 0.8293036818504333
Epoch 430, training loss: 0.7326797842979431 = 0.1037750244140625 + 0.1 * 6.289047718048096
Epoch 430, val loss: 0.8430216908454895
Epoch 440, training loss: 0.7235121130943298 = 0.09620345383882523 + 0.1 * 6.2730865478515625
Epoch 440, val loss: 0.8572359085083008
Epoch 450, training loss: 0.7169405817985535 = 0.08930325508117676 + 0.1 * 6.276372909545898
Epoch 450, val loss: 0.8718332052230835
Epoch 460, training loss: 0.7098435759544373 = 0.08301550149917603 + 0.1 * 6.268280506134033
Epoch 460, val loss: 0.8866936564445496
Epoch 470, training loss: 0.7045843601226807 = 0.07729297131299973 + 0.1 * 6.272913455963135
Epoch 470, val loss: 0.9016372561454773
Epoch 480, training loss: 0.6987829804420471 = 0.07208605855703354 + 0.1 * 6.266969203948975
Epoch 480, val loss: 0.9167279005050659
Epoch 490, training loss: 0.6927305459976196 = 0.06730189174413681 + 0.1 * 6.254286766052246
Epoch 490, val loss: 0.9319413900375366
Epoch 500, training loss: 0.6879319548606873 = 0.06289178133010864 + 0.1 * 6.250401496887207
Epoch 500, val loss: 0.9473620057106018
Epoch 510, training loss: 0.684913694858551 = 0.058829911053180695 + 0.1 * 6.260838031768799
Epoch 510, val loss: 0.9627758860588074
Epoch 520, training loss: 0.6804457306861877 = 0.05510484054684639 + 0.1 * 6.253408432006836
Epoch 520, val loss: 0.9782031178474426
Epoch 530, training loss: 0.6758722066879272 = 0.051669519394636154 + 0.1 * 6.242026329040527
Epoch 530, val loss: 0.9935559034347534
Epoch 540, training loss: 0.67228764295578 = 0.04850756749510765 + 0.1 * 6.237800598144531
Epoch 540, val loss: 1.008703589439392
Epoch 550, training loss: 0.6698682904243469 = 0.04559928923845291 + 0.1 * 6.242690086364746
Epoch 550, val loss: 1.0237979888916016
Epoch 560, training loss: 0.6670300364494324 = 0.042911168187856674 + 0.1 * 6.2411885261535645
Epoch 560, val loss: 1.0386626720428467
Epoch 570, training loss: 0.6630339622497559 = 0.040429890155792236 + 0.1 * 6.226040363311768
Epoch 570, val loss: 1.0533065795898438
Epoch 580, training loss: 0.6623215079307556 = 0.03813600912690163 + 0.1 * 6.241854667663574
Epoch 580, val loss: 1.067720890045166
Epoch 590, training loss: 0.6584402322769165 = 0.03602157160639763 + 0.1 * 6.224186420440674
Epoch 590, val loss: 1.0817943811416626
Epoch 600, training loss: 0.6561228632926941 = 0.03406517952680588 + 0.1 * 6.220576763153076
Epoch 600, val loss: 1.095610499382019
Epoch 610, training loss: 0.6547221541404724 = 0.03225146606564522 + 0.1 * 6.224706649780273
Epoch 610, val loss: 1.109156847000122
Epoch 620, training loss: 0.6524198651313782 = 0.030572647228837013 + 0.1 * 6.218472003936768
Epoch 620, val loss: 1.1224685907363892
Epoch 630, training loss: 0.6510618925094604 = 0.02901572361588478 + 0.1 * 6.220461368560791
Epoch 630, val loss: 1.1353905200958252
Epoch 640, training loss: 0.6492717862129211 = 0.027571959421038628 + 0.1 * 6.216998100280762
Epoch 640, val loss: 1.1480920314788818
Epoch 650, training loss: 0.6467699408531189 = 0.026228182017803192 + 0.1 * 6.205417633056641
Epoch 650, val loss: 1.1604682207107544
Epoch 660, training loss: 0.6457923650741577 = 0.024975601583719254 + 0.1 * 6.208167552947998
Epoch 660, val loss: 1.1726610660552979
Epoch 670, training loss: 0.644515335559845 = 0.023808352649211884 + 0.1 * 6.2070698738098145
Epoch 670, val loss: 1.184485912322998
Epoch 680, training loss: 0.6429092884063721 = 0.02272108942270279 + 0.1 * 6.201881408691406
Epoch 680, val loss: 1.196030855178833
Epoch 690, training loss: 0.6418628096580505 = 0.02170696295797825 + 0.1 * 6.201558589935303
Epoch 690, val loss: 1.207381248474121
Epoch 700, training loss: 0.6398084759712219 = 0.020758140832185745 + 0.1 * 6.190503120422363
Epoch 700, val loss: 1.2184553146362305
