Begin epxeriment: cont_weight: 0.001 epoch:1000 der1:0.3 der2:0 dfr1:0 dfr2:0.4
./run_pre_bkd.py:18: DeprecationWarning: the imp module is deprecated in favour of importlib; see the module's documentation for alternative uses
  import imp
Namespace(add_edge_rate_1=0.0, add_edge_rate_2=0.0, cl_activation='relu', cl_base_model='GCNConv', cl_lr=0.0002, cl_num_epochs=1000, cl_num_hidden=128, cl_num_layers=2, cl_num_proj_hidden=128, cl_weight_decay=1e-05, config='config.yaml', cont_batch_size=0, cont_weight=0.001, cuda=True, dataset='Cora', debug=True, defense_mode='none', device_id=2, dis_weight=1, drop_edge_rate_1=0.3, drop_edge_rate_2=0.0, drop_feat_rate_1=0.0, drop_feat_rate_2=0.4, dropout=0.5, epochs=200, evaluate_mode='1by1', gpu_id=0, hidden=128, homo_boost_thrd=0.5, homo_loss_weight=0.0, inner=1, lr=0.01, model='GCN', no_cuda=False, proj_hidden=128, prune_thr=0.2, seed=10, selection_method='cluster_degree', target_class=0, target_loss_weight=1, tau=0.4, temperature=0.5, test_model='GCN', thrd=0.5, train_lr=0.01, trigger_size=3, trojan_epochs=200, use_vs_number=True, vs_number=5, vs_ratio=0, weight_decay=0.0005)
#Attach Nodes:5
./selected_nodes/Cora/Overall/seed265/nodes.txt
precent of left attach nodes: 1.000
/home/mfl5681/project-contrastive/RobustCL/model.py:226: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.labels = torch.tensor(labels, dtype=torch.long)
=== training gcn model ===
Epoch 0, training loss: 1.9541475772857666 = 1.945773720741272 + 0.001 * 8.373821258544922
Epoch 0, val loss: 1.9449304342269897
Epoch 10, training loss: 1.9441683292388916 = 1.9357945919036865 + 0.001 * 8.373740196228027
Epoch 10, val loss: 1.9348820447921753
Epoch 20, training loss: 1.9315885305404663 = 1.9232150316238403 + 0.001 * 8.37346363067627
Epoch 20, val loss: 1.9220805168151855
Epoch 30, training loss: 1.9136499166488647 = 1.9052770137786865 + 0.001 * 8.372843742370605
Epoch 30, val loss: 1.9036376476287842
Epoch 40, training loss: 1.8869787454605103 = 1.8786073923110962 + 0.001 * 8.371376991271973
Epoch 40, val loss: 1.876423716545105
Epoch 50, training loss: 1.8501601219177246 = 1.841793179512024 + 0.001 * 8.366896629333496
Epoch 50, val loss: 1.8407316207885742
Epoch 60, training loss: 1.8092632293701172 = 1.8009166717529297 + 0.001 * 8.346575736999512
Epoch 60, val loss: 1.805529236793518
Epoch 70, training loss: 1.7717636823654175 = 1.7635490894317627 + 0.001 * 8.214545249938965
Epoch 70, val loss: 1.7766691446304321
Epoch 80, training loss: 1.7233245372772217 = 1.7155297994613647 + 0.001 * 7.794769287109375
Epoch 80, val loss: 1.7367464303970337
Epoch 90, training loss: 1.6554547548294067 = 1.6478052139282227 + 0.001 * 7.649535179138184
Epoch 90, val loss: 1.6792399883270264
Epoch 100, training loss: 1.5665663480758667 = 1.5590699911117554 + 0.001 * 7.496298313140869
Epoch 100, val loss: 1.6055333614349365
Epoch 110, training loss: 1.4663406610488892 = 1.4590826034545898 + 0.001 * 7.258018493652344
Epoch 110, val loss: 1.5266590118408203
Epoch 120, training loss: 1.365647792816162 = 1.3585602045059204 + 0.001 * 7.08762264251709
Epoch 120, val loss: 1.448973536491394
Epoch 130, training loss: 1.2668697834014893 = 1.2598347663879395 + 0.001 * 7.035025596618652
Epoch 130, val loss: 1.3742735385894775
Epoch 140, training loss: 1.1705543994903564 = 1.163596749305725 + 0.001 * 6.957614421844482
Epoch 140, val loss: 1.3032013177871704
Epoch 150, training loss: 1.0804122686386108 = 1.0735100507736206 + 0.001 * 6.902196884155273
Epoch 150, val loss: 1.2370258569717407
Epoch 160, training loss: 1.0000426769256592 = 0.9931774735450745 + 0.001 * 6.865185737609863
Epoch 160, val loss: 1.1787937879562378
Epoch 170, training loss: 0.9294462203979492 = 0.922602117061615 + 0.001 * 6.844091415405273
Epoch 170, val loss: 1.1287732124328613
Epoch 180, training loss: 0.8658544421195984 = 0.8590192794799805 + 0.001 * 6.835190296173096
Epoch 180, val loss: 1.0855238437652588
Epoch 190, training loss: 0.8058664202690125 = 0.7990360260009766 + 0.001 * 6.83040714263916
Epoch 190, val loss: 1.0466668605804443
Epoch 200, training loss: 0.747044026851654 = 0.7402174472808838 + 0.001 * 6.826599597930908
Epoch 200, val loss: 1.0091813802719116
Epoch 210, training loss: 0.6881453394889832 = 0.681321382522583 + 0.001 * 6.823966026306152
Epoch 210, val loss: 0.9713934063911438
Epoch 220, training loss: 0.6287948489189148 = 0.6219731569290161 + 0.001 * 6.82167911529541
Epoch 220, val loss: 0.9326329827308655
Epoch 230, training loss: 0.5696740746498108 = 0.5628551244735718 + 0.001 * 6.818936824798584
Epoch 230, val loss: 0.893460214138031
Epoch 240, training loss: 0.5126830339431763 = 0.5058677196502686 + 0.001 * 6.815301895141602
Epoch 240, val loss: 0.8551350831985474
Epoch 250, training loss: 0.4595484733581543 = 0.45273733139038086 + 0.001 * 6.8111443519592285
Epoch 250, val loss: 0.8196027278900146
Epoch 260, training loss: 0.4107953608036041 = 0.4039883613586426 + 0.001 * 6.807003974914551
Epoch 260, val loss: 0.7881682515144348
Epoch 270, training loss: 0.3658471405506134 = 0.35904473066329956 + 0.001 * 6.802403450012207
Epoch 270, val loss: 0.7610230445861816
Epoch 280, training loss: 0.32396766543388367 = 0.3171694576740265 + 0.001 * 6.798196792602539
Epoch 280, val loss: 0.7377456426620483
Epoch 290, training loss: 0.2848283350467682 = 0.27803361415863037 + 0.001 * 6.794715881347656
Epoch 290, val loss: 0.7177457809448242
Epoch 300, training loss: 0.24853046238422394 = 0.241740882396698 + 0.001 * 6.789579391479492
Epoch 300, val loss: 0.7008165121078491
Epoch 310, training loss: 0.21533113718032837 = 0.2085452675819397 + 0.001 * 6.7858757972717285
Epoch 310, val loss: 0.6871526837348938
Epoch 320, training loss: 0.18560552597045898 = 0.17882275581359863 + 0.001 * 6.782777309417725
Epoch 320, val loss: 0.677108883857727
Epoch 330, training loss: 0.15964257717132568 = 0.15286341309547424 + 0.001 * 6.779162883758545
Epoch 330, val loss: 0.6707637310028076
Epoch 340, training loss: 0.13746488094329834 = 0.13069026172161102 + 0.001 * 6.774621963500977
Epoch 340, val loss: 0.6680928468704224
Epoch 350, training loss: 0.11880307644605637 = 0.11202894896268845 + 0.001 * 6.774127006530762
Epoch 350, val loss: 0.6688836812973022
Epoch 360, training loss: 0.10319110751152039 = 0.0964227244257927 + 0.001 * 6.768386363983154
Epoch 360, val loss: 0.6726884245872498
Epoch 370, training loss: 0.0901460200548172 = 0.08338423073291779 + 0.001 * 6.761785507202148
Epoch 370, val loss: 0.6789988279342651
Epoch 380, training loss: 0.07922956347465515 = 0.07247191667556763 + 0.001 * 6.7576470375061035
Epoch 380, val loss: 0.6873055100440979
Epoch 390, training loss: 0.0700613260269165 = 0.06331200152635574 + 0.001 * 6.749326705932617
Epoch 390, val loss: 0.6971384882926941
Epoch 400, training loss: 0.062341149896383286 = 0.055603042244911194 + 0.001 * 6.738107204437256
Epoch 400, val loss: 0.7080704569816589
Epoch 410, training loss: 0.05584356561303139 = 0.04909354820847511 + 0.001 * 6.750017166137695
Epoch 410, val loss: 0.7198056578636169
Epoch 420, training loss: 0.05029459670186043 = 0.043574217706918716 + 0.001 * 6.720377445220947
Epoch 420, val loss: 0.7320713996887207
Epoch 430, training loss: 0.04559929668903351 = 0.03887927159667015 + 0.001 * 6.720026016235352
Epoch 430, val loss: 0.7445727586746216
Epoch 440, training loss: 0.04158167541027069 = 0.034865956753492355 + 0.001 * 6.715716361999512
Epoch 440, val loss: 0.7571213841438293
Epoch 450, training loss: 0.038155268877744675 = 0.03141816705465317 + 0.001 * 6.73710298538208
Epoch 450, val loss: 0.7696456909179688
Epoch 460, training loss: 0.035151101648807526 = 0.02844097651541233 + 0.001 * 6.7101263999938965
Epoch 460, val loss: 0.7819701433181763
Epoch 470, training loss: 0.03254741057753563 = 0.02585744298994541 + 0.001 * 6.689966678619385
Epoch 470, val loss: 0.7940487861633301
Epoch 480, training loss: 0.030287884175777435 = 0.023604849353432655 + 0.001 * 6.6830339431762695
Epoch 480, val loss: 0.8059046864509583
Epoch 490, training loss: 0.028313996270298958 = 0.021630948409438133 + 0.001 * 6.683047294616699
Epoch 490, val loss: 0.8174530863761902
Epoch 500, training loss: 0.026574982330203056 = 0.019892552867531776 + 0.001 * 6.682429790496826
Epoch 500, val loss: 0.8286890387535095
Epoch 510, training loss: 0.025038057938218117 = 0.018356259912252426 + 0.001 * 6.681797504425049
Epoch 510, val loss: 0.8395982384681702
Epoch 520, training loss: 0.02368655800819397 = 0.01699306070804596 + 0.001 * 6.693496227264404
Epoch 520, val loss: 0.8501884341239929
Epoch 530, training loss: 0.022452108561992645 = 0.015779482200741768 + 0.001 * 6.672625541687012
Epoch 530, val loss: 0.8604773879051208
Epoch 540, training loss: 0.021358555182814598 = 0.01469400804489851 + 0.001 * 6.664547443389893
Epoch 540, val loss: 0.8704639673233032
Epoch 550, training loss: 0.02038334682583809 = 0.013719568960368633 + 0.001 * 6.663778305053711
Epoch 550, val loss: 0.8802597522735596
Epoch 560, training loss: 0.019516415894031525 = 0.01284187100827694 + 0.001 * 6.674544334411621
Epoch 560, val loss: 0.8897705674171448
Epoch 570, training loss: 0.01872250996530056 = 0.012048762291669846 + 0.001 * 6.673748016357422
Epoch 570, val loss: 0.8989585638046265
Epoch 580, training loss: 0.017993977293372154 = 0.011329738423228264 + 0.001 * 6.664237976074219
Epoch 580, val loss: 0.9079081416130066
Epoch 590, training loss: 0.017329687252640724 = 0.010675927624106407 + 0.001 * 6.653759479522705
Epoch 590, val loss: 0.9166461229324341
